,latitude,longitude,squared_meters,bedrooms,bathrooms,suites,parking_spaces,estimated_price
429,-23.587769999999978,-46.57908999999995,100.0,3.0,1.0,0.0,2.0,709.3079376960768
430,-23.51825999999994,-46.533369999999934,70.0,2.0,2.0,1.0,2.0,633.5887940427383
431,-23.466239999999967,-46.72348999999997,62.0,3.0,1.0,0.0,1.0,422.53429203757844
432,-23.533329999999975,-46.53332999999998,78.0,3.0,2.0,0.0,2.0,641.2886536247468
433,-23.535919999999976,-46.65774999999997,260.0,4.0,3.0,2.0,3.0,1959.587251580122
434,-23.563369999999967,-46.61991999999998,72.0,3.0,3.0,0.0,2.0,724.2823466797673
435,-23.496439999999946,-46.62925999999993,75.0,2.0,2.0,0.0,2.0,688.9549081531648
436,-23.477769999999968,-46.643279999999955,62.0,3.0,1.0,0.0,1.0,382.2970319877172
437,-23.56199999999995,-46.685969999999934,110.0,3.0,1.0,0.0,1.0,665.2091010829208
438,-23.55958999999996,-46.60380999999995,216.0,4.0,4.0,3.0,2.0,1630.8798274999845
439,-23.54056999999995,-46.67235999999997,142.0,3.0,3.0,0.0,2.0,1137.0395132569024
440,-23.54056999999995,-46.67235999999997,72.0,3.0,2.0,0.0,2.0,677.0094354268808
441,-23.55958999999996,-46.60380999999995,180.0,3.0,3.0,1.0,2.0,1332.4151734895984
442,-23.493079999999967,-46.61696999999998,150.0,2.0,1.0,0.0,1.0,869.1379846248057
443,-23.512149999999966,-46.71814999999998,87.0,3.0,3.0,0.0,2.0,857.5437981966729
444,-23.571609999999968,-46.63329999999996,70.0,3.0,2.0,1.0,2.0,666.0882405466792
445,-23.515299999999968,-46.69323999999993,84.0,2.0,1.0,0.0,1.0,542.3789457250734
446,-23.532119999999967,-46.70536999999996,69.0,2.0,3.0,0.0,2.0,766.547919131089
447,-23.54624999999993,-46.69407999999999,149.0,4.0,3.0,2.0,2.0,1212.1041121043904
448,-23.633269999999985,-46.737009999999934,79.0,2.0,3.0,2.0,2.0,875.0479676233936
449,-23.633269999999985,-46.737009999999934,130.0,3.0,2.0,0.0,2.0,1025.665962215731
450,-23.623839999999966,-46.690289999999955,97.0,2.0,3.0,2.0,2.0,951.4079548768345
451,-23.568089999999927,-46.56408999999997,70.0,2.0,1.0,0.0,1.0,399.21939904640806
452,-23.482539999999968,-46.61827999999997,215.0,4.0,4.0,3.0,4.0,1941.641793754129
453,-23.586699999999947,-46.67827999999997,145.0,3.0,3.0,0.0,1.0,1001.7111848320111
454,-23.58928999999995,-46.52798999999993,80.0,3.0,2.0,0.0,2.0,647.7214196447914
455,-23.474069999999987,-46.61073999999997,52.0,2.0,1.0,0.0,2.0,479.6212553074073
456,-23.492569999999947,-46.63515999999999,290.0,4.0,5.0,2.0,4.0,2416.6917729843344
457,-23.56199999999995,-46.685969999999934,111.0,3.0,2.0,0.0,1.0,744.8311113109346
458,-23.496439999999946,-46.62925999999993,218.0,3.0,3.0,2.0,5.0,2036.9508066947228
459,-23.496439999999946,-46.62925999999993,93.0,1.0,2.0,0.0,2.0,803.4729484535925
460,-23.54790999999995,-46.56146999999999,268.0,4.0,6.0,4.0,4.0,2372.1553844007794
461,-23.539089999999927,-46.693509999999954,65.0,1.0,2.0,1.0,1.0,546.9092619857627
462,-23.586699999999947,-46.67827999999997,129.0,3.0,2.0,1.0,1.0,859.9733600441897
